Mes, Año de Año;Dep;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2019;Boyacá;Contributivo;1776;;1776;0;1776;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;7109;;0;0;7109;0;0;0;0;7109
diciembre 2019;Boyacá;Excepción;13;;0;13;13;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;3030;3030;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;176;;176;0;176;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;2134;;0;0;2134;0;0;0;0;2134
diciembre 2019;Boyacá;Excepción;17;;0;17;17;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;2861;2861;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;130;;130;0;130;0;0;0;0;0
